,count,Random,MostPopular,UserItemAvg,UserKNN,UserKNNAvg,NMF,SVD
6249,0.0073922617175212,3,0,4,5,5,5,4
8629,0.0073922617175212,6,0,8,8,8,8,8
3081,0.0073922617175212,6,0,7,7,7,7,6
8904,0.0073922617175212,8,0,8,8,8,8,8
18148,0.0073922617175212,10,0,5,7,7,7,6
2267,0.0073922617175212,8,0,7,7,7,7,7
8695,0.0073922617175212,6,0,14,14,14,13,14
9681,0.0073922617175212,4,0,10,11,11,12,11
4698,0.0072349795533186,9,0,12,12,12,12,12
163,0.0072349795533186,9,0,8,8,8,8,8
1106,0.0072349795533186,7,0,12,12,12,12,12
8868,0.0072349795533186,8,0,14,15,13,14,14
8902,0.0072349795533186,9,0,6,6,6,6,6
9101,0.0072349795533186,3,0,6,6,6,6,6
3759,0.0072349795533186,7,0,13,13,13,13,13
10938,0.0072349795533186,7,0,9,9,9,8,9
8684,0.0072349795533186,7,0,8,8,8,9,8
792,0.0072349795533186,10,0,5,5,5,5,5
1670,0.007077697389116,7,0,6,6,6,6,6
408,0.007077697389116,5,0,7,8,7,8,8
16074,0.007077697389116,7,0,9,9,9,9,9
2270,0.007077697389116,3,0,4,4,4,4,4
9530,0.007077697389116,5,0,7,7,7,7,7
3322,0.007077697389116,6,0,6,6,7,7,7
3324,0.007077697389116,6,0,4,3,3,4,4
22711,0.007077697389116,8,0,7,6,6,7,7
5502,0.007077697389116,9,0,7,7,7,7,7
19198,0.007077697389116,7,0,6,6,6,6,6
9354,0.007077697389116,6,0,11,12,11,11,11
3026,0.007077697389116,11,0,10,10,10,10,9
6572,0.007077697389116,5,0,7,8,8,7,8
14616,0.0069204152249134,8,0,7,7,7,7,7
2738,0.0069204152249134,7,0,12,12,12,11,12
1105,0.0069204152249134,5,0,12,12,11,12,11
34,0.0069204152249134,7,0,6,7,7,7,7
6258,0.0069204152249134,8,0,10,9,9,10,10
1069,0.0069204152249134,6,0,9,9,8,9,9
2022,0.0069204152249134,10,0,10,10,9,10,10
8,0.0069204152249134,10,0,15,15,15,14,13
16254,0.0069204152249134,2,0,8,9,9,8,7
1617,0.0069204152249134,11,0,11,11,11,11,11
1177,0.0069204152249134,7,0,8,8,8,8,8
3050,0.0069204152249134,13,0,6,6,6,6,6
17796,0.0069204152249134,4,0,7,6,6,7,7
10211,0.0067631330607109,12,0,16,16,16,17,16
1115,0.0067631330607109,2,0,11,11,11,11,11
18980,0.0067631330607109,11,0,7,7,7,8,7
6250,0.0067631330607109,9,0,8,9,9,8,9
1934,0.0067631330607109,11,0,6,6,6,6,6
1534,0.0067631330607109,10,0,8,8,8,8,8
10498,0.0067631330607109,8,0,14,14,14,10,13
23709,0.0067631330607109,8,0,7,7,7,7,7
1491,0.0067631330607109,6,0,8,8,9,9,9
1611,0.0067631330607109,4,0,12,11,12,12,12
3228,0.0067631330607109,7,0,9,9,9,9,9
9501,0.0067631330607109,5,0,10,10,10,10,10
8626,0.0067631330607109,8,0,5,5,5,5,5
3047,0.0067631330607109,13,0,8,8,8,8,8
11108,0.0067631330607109,10,0,6,6,6,6,6
7167,0.0067631330607109,5,0,12,12,12,12,12
15440,0.0067631330607109,2,0,4,4,4,4,4
6355,0.0066058508965083,11,0,6,6,6,6,6
16319,0.0066058508965083,8,0,7,7,7,7,7
2189,0.0066058508965083,11,0,5,3,3,4,5
787,0.0066058508965083,8,0,14,13,14,13,13
2318,0.0066058508965083,13,0,7,7,7,7,7
9324,0.0066058508965083,4,0,8,6,6,8,8
108,0.0066058508965083,5,0,5,5,5,5,5
10410,0.0066058508965083,8,0,9,7,7,9,9
8570,0.0066058508965083,5,0,7,7,7,7,7
13607,0.0066058508965083,11,0,9,9,9,9,9
1561,0.0066058508965083,12,0,6,6,6,6,6
1249,0.0064485687323057,8,0,8,8,8,8,8
1583,0.0064485687323057,9,0,6,6,6,6,6
3132,0.0064485687323057,6,0,7,6,7,7,7
6351,0.0064485687323057,5,0,6,6,6,6,6
1379,0.0064485687323057,9,0,15,15,15,15,15
2202,0.0064485687323057,9,0,8,8,8,8,8
25461,0.0064485687323057,8,0,7,6,7,7,7
10848,0.0064485687323057,8,0,10,10,10,10,10
10010,0.0064485687323057,5,0,2,2,2,2,2
9484,0.0064485687323057,4,0,7,7,7,7,7
20806,0.0064485687323057,12,0,9,8,9,9,9
22551,0.0064485687323057,2,0,7,7,6,6,6
938,0.0064485687323057,8,0,7,7,7,7,7
12408,0.0062912865681031,3,0,10,10,10,10,10
10777,0.0062912865681031,10,0,11,11,11,11,11
1532,0.0062912865681031,6,0,8,8,8,8,8
3344,0.0062912865681031,8,0,5,5,6,5,6
7106,0.0062912865681031,7,0,7,8,8,9,8
2046,0.0061340044039005,5,0,7,7,7,7,7
9940,0.0061340044039005,6,0,6,6,6,6,6
11396,0.0061340044039005,7,0,9,9,9,10,9
11091,0.0061340044039005,4,0,7,8,8,9,9
24432,0.0061340044039005,16,0,6,6,6,6,6
9361,0.0061340044039005,6,0,7,7,7,7,7
19157,0.0061340044039005,8,0,7,7,7,7,7
991,0.0061340044039005,11,0,8,8,8,8,8
10226,0.0061340044039005,7,0,9,9,9,9,9
9330,0.0061340044039005,7,0,9,9,10,9,10
1253,0.005976722239698,1,0,5,5,5,5,5
2271,0.005976722239698,14,0,3,3,3,3,3
17388,0.005976722239698,11,0,5,5,5,6,5
1674,0.005976722239698,6,0,8,8,8,8,8
13664,0.005976722239698,13,0,5,5,5,5,5
2970,0.005976722239698,7,0,6,6,6,7,6
1376,0.005976722239698,5,0,13,11,12,13,13
1632,0.005976722239698,7,0,6,6,6,6,6
3193,0.005976722239698,7,0,7,7,7,8,7
2867,0.005976722239698,6,0,12,12,12,12,12
800,0.005976722239698,5,0,9,8,8,7,9
8870,0.005976722239698,9,0,8,8,8,8,8
1511,0.005976722239698,9,0,5,5,5,5,5
15196,0.005976722239698,8,0,5,5,5,5,5
8817,0.005976722239698,8,0,10,10,10,10,10
981,0.005976722239698,9,0,6,7,7,7,7
11496,0.005976722239698,4,0,5,4,4,4,5
8522,0.0058194400754954,8,0,7,10,9,10,7
2975,0.0058194400754954,6,0,6,6,6,6,6
3323,0.0058194400754954,6,0,4,4,4,4,4
8521,0.0058194400754954,3,0,3,4,5,5,4
19833,0.0058194400754954,12,0,3,5,4,5,4
9504,0.0058194400754954,4,0,10,10,10,10,10
13708,0.0058194400754954,6,0,9,7,6,9,9
13625,0.0058194400754954,8,0,8,8,8,8,7
17546,0.0058194400754954,10,0,6,6,6,6,6
11856,0.0058194400754954,10,0,6,6,6,6,6
5621,0.0058194400754954,5,0,7,8,8,8,7
18289,0.0058194400754954,3,0,11,11,11,11,11
11386,0.0058194400754954,9,0,6,6,6,6,5
2072,0.0058194400754954,9,0,5,5,5,5,5
16544,0.0058194400754954,9,0,9,9,9,9,9
1009,0.0058194400754954,7,0,11,11,11,11,11
2994,0.0058194400754954,6,0,9,9,9,9,9
9701,0.0058194400754954,13,0,8,8,8,8,8
2845,0.0058194400754954,7,0,6,5,5,5,6
6499,0.0058194400754954,7,0,8,8,8,8,8
1258,0.0058194400754954,9,0,6,6,7,7,6
760,0.0056621579112928,6,0,8,8,8,8,8
8448,0.0056621579112928,10,0,9,9,9,9,9
20693,0.0056621579112928,4,0,5,5,5,5,5
13706,0.0056621579112928,9,0,8,8,8,8,8
17704,0.0056621579112928,3,0,5,5,5,4,5
1178,0.0056621579112928,11,0,7,7,7,7,7
19764,0.0056621579112928,7,0,7,7,7,7,7
1462,0.0056621579112928,9,0,8,7,7,8,7
12362,0.0056621579112928,9,0,6,7,6,8,7
1368,0.0056621579112928,7,0,7,7,7,7,7
3858,0.0056621579112928,14,0,8,8,8,7,8
86,0.0056621579112928,9,0,4,4,4,4,4
2715,0.0056621579112928,9,0,4,4,4,4,4
3500,0.0056621579112928,9,0,6,6,6,6,6
2652,0.0056621579112928,6,0,6,6,6,6,6
1513,0.0056621579112928,8,0,7,8,8,7,9
1651,0.0056621579112928,10,0,7,7,7,7,6
19940,0.0056621579112928,10,0,6,6,6,6,6
1672,0.0056621579112928,8,0,8,8,8,8,8
3495,0.0056621579112928,4,0,9,9,9,10,10
14572,0.0055048757470902,6,0,5,5,5,5,5
827,0.0055048757470902,8,0,4,4,4,4,4
25583,0.0055048757470902,5,0,4,4,4,4,4
3969,0.0055048757470902,11,0,7,7,7,7,7
11869,0.0055048757470902,6,0,3,3,4,5,3
1313,0.0055048757470902,7,0,13,12,12,13,13
1483,0.0055048757470902,6,0,5,5,5,5,5
12960,0.0055048757470902,12,0,5,5,5,5,5
2455,0.0055048757470902,8,0,12,12,12,12,12
3780,0.0055048757470902,8,0,6,6,6,7,6
9918,0.0055048757470902,9,0,7,7,7,7,7
10248,0.0055048757470902,3,0,8,9,9,8,8
2929,0.0055048757470902,8,0,6,5,6,6,6
2183,0.0055048757470902,5,0,7,7,7,7,7
1749,0.0055048757470902,7,0,8,8,8,8,8
2214,0.0055048757470902,5,0,7,7,7,7,7
8518,0.0055048757470902,8,0,5,6,5,5,5
11039,0.0055048757470902,6,0,8,8,8,8,8
17722,0.0055048757470902,9,0,7,7,7,7,7
1633,0.0055048757470902,8,0,9,9,9,8,9
21035,0.0053475935828877,6,0,10,10,10,9,10
1816,0.0053475935828877,11,0,10,10,10,9,10
14203,0.0053475935828877,7,0,7,7,7,7,7
20691,0.0053475935828877,8,0,2,2,2,2,3
1930,0.0053475935828877,5,0,9,9,9,10,10
22953,0.0053475935828877,9,0,13,13,13,13,13
3616,0.0053475935828877,6,0,7,8,8,7,7
6268,0.0053475935828877,6,0,8,10,11,9,9
10618,0.0053475935828877,7,0,6,6,6,6,6
9489,0.0053475935828877,7,0,18,18,18,18,18
28,0.0053475935828877,7,0,9,11,11,10,9
681,0.0053475935828877,13,0,2,3,3,3,2
2217,0.0053475935828877,8,0,4,6,5,5,4
13073,0.0053475935828877,5,0,9,9,9,9,9
9826,0.0053475935828877,9,0,4,4,4,4,4
2599,0.0053475935828877,9,0,7,7,8,8,7
8552,0.0053475935828877,9,0,8,9,9,9,9
2989,0.0053475935828877,9,0,9,9,9,9,9
5620,0.0053475935828877,9,0,6,6,6,6,6
3002,0.0053475935828877,2,0,6,6,6,6,6
17829,0.0053475935828877,8,0,4,4,4,4,4
2305,0.0053475935828877,7,0,9,9,9,8,9
11623,0.0051903114186851,5,0,2,2,2,2,2
24601,0.0051903114186851,7,0,7,7,7,7,7
2916,0.0051903114186851,7,0,8,8,7,8,8
10579,0.0051903114186851,8,0,6,6,6,6,6
1641,0.0051903114186851,10,0,7,7,7,7,7
3003,0.0051903114186851,7,0,3,3,3,3,3
1572,0.0051903114186851,13,0,5,5,5,5,5
11773,0.0051903114186851,6,0,13,13,13,13,13
164,0.0051903114186851,9,0,8,8,8,8,8
12532,0.0051903114186851,8,0,2,2,2,2,2
11009,0.0051903114186851,11,0,9,9,9,9,9
3001,0.0051903114186851,5,0,6,5,5,5,6
11246,0.0051903114186851,7,0,5,5,5,5,5
1544,0.0051903114186851,12,0,5,6,6,6,6
9988,0.0051903114186851,4,0,6,6,6,6,6
8516,0.0051903114186851,5,0,12,12,12,12,12
2071,0.0051903114186851,5,0,4,5,4,4,4
13,0.0051903114186851,6,0,8,8,8,8,8
5613,0.0051903114186851,9,0,5,5,5,5,5
27339,0.0051903114186851,11,0,8,8,8,8,8
903,0.0051903114186851,8,0,5,5,5,5,5
4059,0.0051903114186851,5,0,11,11,11,11,11
14710,0.0051903114186851,8,0,9,9,9,9,9
8553,0.0051903114186851,7,0,4,4,4,4,4
22941,0.0051903114186851,8,0,4,3,3,3,3
2745,0.0051903114186851,2,0,5,5,5,5,5
3804,0.0051903114186851,8,0,5,5,5,5,5
6567,0.0051903114186851,10,0,11,10,10,10,11
10208,0.0050330292544825,8,0,2,3,3,3,2
2654,0.0050330292544825,7,0,5,5,5,5,5
14626,0.0050330292544825,7,0,7,7,7,6,7
8767,0.0050330292544825,6,0,5,5,5,5,5
14669,0.0050330292544825,12,0,1,1,1,1,1
19484,0.0050330292544825,3,0,4,4,4,4,4
23965,0.0050330292544825,8,0,3,3,2,3,3
3044,0.0050330292544825,8,0,2,3,3,3,2
3477,0.0050330292544825,9,0,9,9,9,10,9
1381,0.0050330292544825,7,0,7,7,7,7,7
16576,0.0050330292544825,7,0,6,6,6,6,6
8685,0.0050330292544825,9,0,5,5,5,5,4
32818,0.0050330292544825,6,0,4,4,4,4,4
22184,0.0050330292544825,4,0,8,7,8,8,8
24385,0.0050330292544825,7,0,13,13,13,13,13
18366,0.0050330292544825,5,0,2,2,2,2,2
15100,0.0050330292544825,10,0,6,6,6,6,6
6467,0.0050330292544825,7,0,10,10,10,10,10
13744,0.0050330292544825,3,0,4,4,4,4,4
8532,0.0050330292544825,7,0,5,5,5,5,5
2292,0.0050330292544825,5,0,6,6,6,6,6
3110,0.0050330292544825,9,0,4,3,3,4,3
10279,0.0050330292544825,7,0,8,8,8,8,8
15154,0.0048757470902799,5,0,6,6,6,6,6
8660,0.0048757470902799,9,0,4,4,4,4,4
1642,0.0048757470902799,5,0,6,6,6,6,6
11161,0.0048757470902799,8,0,7,7,7,7,7
2,0.0048757470902799,12,0,6,6,6,6,6
15651,0.0048757470902799,6,0,6,6,6,6,6
726,0.0048757470902799,8,0,1,1,1,1,1
3332,0.0048757470902799,9,0,6,7,7,6,6
15007,0.0048757470902799,2,0,5,5,5,5,5
10456,0.0048757470902799,7,0,5,5,5,5,5
15553,0.0048757470902799,11,0,6,5,5,6,6
35038,0.0048757470902799,11,0,6,5,5,6,6
9566,0.0048757470902799,5,0,5,5,5,5,5
8851,0.0048757470902799,10,0,7,7,7,8,7
9961,0.0048757470902799,11,0,7,7,7,7,7
19598,0.0048757470902799,11,0,9,9,9,9,9
8907,0.0048757470902799,7,0,6,6,6,6,6
12938,0.0048757470902799,6,0,6,6,6,6,6
1730,0.0048757470902799,8,0,3,3,4,4,3
15151,0.0048757470902799,11,0,5,5,5,5,5
15171,0.0048757470902799,14,0,5,6,5,5,5
9054,0.0048757470902799,12,0,6,6,6,6,6
9909,0.0048757470902799,10,0,7,8,9,9,8
1625,0.0047184649260773,6,0,3,1,1,1,2
9099,0.0047184649260773,12,0,6,6,6,6,6
10476,0.0047184649260773,7,0,4,4,4,4,4
22215,0.0047184649260773,11,0,7,8,8,8,7
9351,0.0047184649260773,11,0,5,7,5,4,6
13097,0.0047184649260773,5,0,7,7,7,7,7
4165,0.0047184649260773,6,0,5,5,5,5,5
10383,0.0047184649260773,9,0,3,5,5,3,4
17859,0.0047184649260773,16,0,6,6,6,6,6
8877,0.0047184649260773,3,0,7,7,7,7,7
1665,0.0047184649260773,5,0,8,8,8,8,8
15243,0.0047184649260773,7,0,4,4,4,4,4
20143,0.0047184649260773,6,0,4,4,4,4,4
16600,0.0047184649260773,8,0,7,7,7,6,7
22027,0.0047184649260773,7,0,6,6,6,6,6
11803,0.0047184649260773,5,0,5,5,5,5,5
10653,0.0047184649260773,10,0,6,6,6,6,6
132,0.0047184649260773,17,0,9,9,9,9,9
3885,0.0047184649260773,9,0,6,6,6,5,5
11,0.0045611827618748,6,0,8,9,10,9,9
11103,0.0045611827618748,10,0,5,6,6,5,5
6266,0.0045611827618748,7,0,5,5,4,4,5
17803,0.0045611827618748,4,0,7,7,7,7,7
5807,0.0045611827618748,8,0,9,9,9,9,8
4029,0.0045611827618748,5,0,5,5,5,5,5
10085,0.0045611827618748,3,0,7,7,7,7,7
20837,0.0045611827618748,6,0,3,3,3,4,3
29591,0.0045611827618748,6,0,7,7,7,7,7
3888,0.0045611827618748,3,0,10,10,10,10,10
1671,0.0045611827618748,7,0,5,5,5,5,5
19610,0.0045611827618748,7,0,3,4,4,4,4
1108,0.0045611827618748,7,0,2,2,2,2,2
9323,0.0045611827618748,8,0,8,8,8,8,8
6496,0.0045611827618748,6,0,7,7,7,7,7
2866,0.0045611827618748,9,0,3,3,3,3,3
22718,0.0045611827618748,6,0,5,5,5,5,5
8577,0.0045611827618748,8,0,8,8,8,8,8
8842,0.0045611827618748,7,0,6,6,6,6,6
4257,0.0045611827618748,9,0,8,8,8,8,8
12161,0.0045611827618748,8,0,3,3,3,3,3
16298,0.0045611827618748,9,0,4,4,4,4,4
16545,0.0044039005976722,8,0,5,5,5,5,5
10749,0.0044039005976722,8,0,8,8,9,9,8
2073,0.0044039005976722,9,0,4,4,4,4,4
3486,0.0044039005976722,6,0,6,6,6,6,6
30054,0.0044039005976722,7,0,1,1,1,1,1
22403,0.0044039005976722,8,0,4,4,4,4,4
3086,0.0044039005976722,7,0,3,3,3,2,3
32444,0.0044039005976722,7,0,8,8,8,8,8
